地名,センター,びん,缶,段ボール・紙製容器,ペットボトル,蛍光灯,プラ,燃やせる,燃やせない,備考
宿布町,福井,*1,*1,*1,*1,水2:5 7 9 11 1 3,*1,*1,*1,福井
篠尾町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
下莇生田町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
下河北町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
下東郷町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
下毘沙門町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
下細江町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
下六条町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
成願寺町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
浄教寺町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
小路町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
新開町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
高尾町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
田治島町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
田中町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
天王町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
東郷中島町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
東郷二ケ町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
栂野町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
徳光町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
栃泉町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
中毘沙門町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
西大味町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
西新町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
西袋町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
半田町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
東大味町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
東新町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
深見町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
二上町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
帆谷町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
前波町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
南山町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
安原町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
脇三ケ町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
赤谷町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
朝谷町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
美山町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
市波町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
宇坂大谷町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
獺ケ口町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
大久保町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
美山大谷町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
大宮町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
小当見町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
折立町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
篭谷町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
東川上町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
神当部町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
蔵作町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
小宇坂町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
小宇坂島町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
味見河内町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
小和清水町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
境寺町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
皿谷町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
三万谷町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
宇坂別所町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
品ケ瀬町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
椙谷町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
高田町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
田尻町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
所谷町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
中手町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
奈良瀬町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
仁位町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
西天田町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
西市布町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
西河原町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
西中町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山（1月・2月に燃やせないごみの収集日が変わります）
縫原町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
野波町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
計石町,美山,水4,水1 水3,水3,水2,水4:5 7 9 11 1 3,月,火 金,木2 木4,美山
