地名,センター,びん,缶,段ボール・紙製容器,ペットボトル,蛍光灯,プラ,燃やせる,燃やせない,備考
大畑町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
大宮１丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
大宮２丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
大宮３丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
大宮４丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
大和田町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
岡西谷町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
恐神町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,木,火 金,月2 月4,福井
小山谷町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（足羽山）
大宮５丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
大宮６丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
大町１丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
大町２丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
大和田１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
大和田２丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
開発町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
花月１丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
花月２丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
花月３丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
花月４丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
主計中町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
春日町,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
春日１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
春日２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
春日３丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
勝見１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
勝見２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
勝見３丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
金屋町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,木,火 金,月2 月4,福井
上一光町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（冬季特別）
上江尻町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
上中町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
加茂河原町【（こどもの国を含む）】,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
加茂河原１丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
河合勝見町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
川合鷲塚町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
つくし野１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
つくし野２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
つくし野３丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
